Timestamp,Originator,OriginatorID,Event,Parameter,Shepherd,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf,Wolf
.000,Terrain,110606,None,True,223.4972:0:414.5486:0:-0.9938502:0:0.1107332,251.8535:0.08712769:399.5573:0:-0.3826835:0:0.9238796,240.2394:0.08712769:378.4684:0:0:0:1,245.6181:0.08712769:407.8893:0:1:0:-4.371139E-08,235.5269:0.08712769:392.6381:0:0.08715574:0:0.9961947,246.5558:0.08712769:378.4684:0:0:0:1,254.9346:0.08712769:386.67:0:0.7071068:0:-0.7071068,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0:0:0:1,216.711:0.08712769:403.5682:0:0.3781566:0:0.9257417,240.4482:0.08712769:409.3763:0:0:0:1,251.1217:0.08712769:391.398:0:0.3420202:0:-0.9396926,224.8722:0.08712769:397.123:0:0.1688256:0:0.9856459
.431,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.479,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.536,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.594,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.657,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.716,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.767,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.825,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.887,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.945,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
.998,Terrain,110606,None,True,223.4972:-0.005000055:414.5486:0:0.9938502:0:-0.1107332,251.8535:0.08712769:399.5573:0.001230117:-0.5160529:0.0007411142:0.8565555,240.2394:0.08712769:378.4684:0.001130881:-0.2155238:0.0002495978:0.9764979,245.6181:0.08712769:407.8893:0.001600316:-0.5965464:0.001189498:0.8025761,235.5269:0.08712769:392.6381:0.0017851:-0.2484227:0.0004578116:0.96865,246.5558:0.08712769:378.4684:0.001032582:-0.2805183:0.000301775:0.9598481,254.9346:0.08712769:386.67:0.0009998124:-0.4101892:0.0004496846:0.9119998,231.7596:0.08712769:409.3763:0:0:0:1,253.225:0.1115837:409.9268:0.001471546:-0.6505275:0.001260442:0.7594802,216.711:0.08712769:403.5682:0:0.3781567:0:0.9257416,240.4482:0.08712769:409.3763:0.00208892:-0.5950403:0.001546603:0.8036917,251.1217:0.08712769:391.398:0.001158133:-0.4228985:0.0005404829:0.9061761,224.8722:0.08712769:397.123:0.002633209:-0.03935997:0.0001037238:0.9992216
